sentence 1,sentence 2,score
"['haha', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren…', 'gewoon', 'een', 'manier', 'van', 'praten']","['Een', 'Brabander', 'in', 'hart', 'en', 'nieren', ',', 'dat', 'is', 'een', 'manier', 'van', 'praten', '.']",0.3556
"['haha', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren…', 'gewoon', 'een', 'manier', 'van', 'praten']","['Mensen', 'uit', 'Brabant', 'hebben', 'een', 'bepaalde', 'manier', 'van', 'praten', '.']",0.0919
"['haha', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren…', 'gewoon', 'een', 'manier', 'van', 'praten']","['Het', 'is', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren', '.', 'Die', 'hebben', 'een', 'eigen', 'manier', 'van', 'praten', '.']",0.2949
"['Een', 'Brabander', 'in', 'hart', 'en', 'nieren', ',', 'dat', 'is', 'een', 'manier', 'van', 'praten', '.']","['Mensen', 'uit', 'Brabant', 'hebben', 'een', 'bepaalde', 'manier', 'van', 'praten', '.']",0.1862
"['Een', 'Brabander', 'in', 'hart', 'en', 'nieren', ',', 'dat', 'is', 'een', 'manier', 'van', 'praten', '.']","['Het', 'is', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren', '.', 'Die', 'hebben', 'een', 'eigen', 'manier', 'van', 'praten', '.']",0.3899
"['Mensen', 'uit', 'Brabant', 'hebben', 'een', 'bepaalde', 'manier', 'van', 'praten', '.']","['Het', 'is', 'een', 'Brabander', 'in', 'hart', 'en', 'nieren', '.', 'Die', 'hebben', 'een', 'eigen', 'manier', 'van', 'praten', '.']",0.1703
"['wat', 'let', 'je', 'om', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'te', 'openen', '?']",0.5373
"['wat', 'let', 'je', 'om', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'let', 'je', 'om', 'je', 'de', 'beerput', 'te', 'openen', '?']",0.5254
"['wat', 'let', 'je', 'om', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'open', 'te', 'maken', '?']",0.1109
"['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'let', 'je', 'om', 'je', 'de', 'beerput', 'te', 'openen', '?']",0.4418
"['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'open', 'te', 'maken', '?']",0.6077
"['Wat', 'let', 'je', 'om', 'je', 'de', 'beerput', 'te', 'openen', '?']","['Wat', 'houd', 'je', 'tegen', 'om', 'de', 'beerput', 'open', 'te', 'maken', '?']",0.0545
"['Oh', 'oh', 'de', 'mommy', '’', 's', 'zitten', 'al', 'klaar', 'met', 'borstvoedingstips', 'en', 'hun', 'kortingscodes']","['De', 'moeders', 'zitten', 'klaar', 'met', 'hun', 'borstvoedingstips', 'en', 'kortingscodes', '.']",0.0487
"['Oh', 'oh', 'de', 'mommy', '’', 's', 'zitten', 'al', 'klaar', 'met', 'borstvoedingstips', 'en', 'hun', 'kortingscodes']","['De', 'moeders', 'zitten', 'reeds', 'klaar', 'met', 'tips', 'voor', 'het', 'borstvoeden', 'en', 'kortingscodes', '.']",0.0383
"['Oh', 'oh', 'de', 'mommy', '’', 's', 'zitten', 'al', 'klaar', 'met', 'borstvoedingstips', 'en', 'hun', 'kortingscodes']","['De', 'moeders', 'verkondigen', 'borstvoedingstips', 'en', 'delen', 'kortingscodes', '.']",0.0307
"['De', 'moeders', 'zitten', 'klaar', 'met', 'hun', 'borstvoedingstips', 'en', 'kortingscodes', '.']","['De', 'moeders', 'zitten', 'reeds', 'klaar', 'met', 'tips', 'voor', 'het', 'borstvoeden', 'en', 'kortingscodes', '.']",0.1469
"['De', 'moeders', 'zitten', 'klaar', 'met', 'hun', 'borstvoedingstips', 'en', 'kortingscodes', '.']","['De', 'moeders', 'verkondigen', 'borstvoedingstips', 'en', 'delen', 'kortingscodes', '.']",0.0792
"['De', 'moeders', 'zitten', 'reeds', 'klaar', 'met', 'tips', 'voor', 'het', 'borstvoeden', 'en', 'kortingscodes', '.']","['De', 'moeders', 'verkondigen', 'borstvoedingstips', 'en', 'delen', 'kortingscodes', '.']",0.047
